"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"melodic rap, pluggnb, rap, trap","https://api.spotify.com/v1/artists/4Ga1P7PMIsmqEZqhYZQgDo","4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca",83,"artist","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","https://open.spotify.com/artist/4Ga1P7PMIsmqEZqhYZQgDo",NA,4907802,"long",3,20,"cindy"
"pittsburgh rap, pop","https://api.spotify.com/v1/artists/5nvWOyAkfNgVLKESq4fOj2","5nvWOyAkfNgVLKESq4fOj2","Montell Fish",73,"artist","spotify:artist:5nvWOyAkfNgVLKESq4fOj2","https://open.spotify.com/artist/5nvWOyAkfNgVLKESq4fOj2",NA,334910,"long",3,21,"cindy"
"cali rap, dance pop, pop, pop rap, r&b, trap queen","https://api.spotify.com/v1/artists/6cK3NBO6uP7hh0oyuVELFl","6cK3NBO6uP7hh0oyuVELFl","Saweetie",81,"artist","spotify:artist:6cK3NBO6uP7hh0oyuVELFl","https://open.spotify.com/artist/6cK3NBO6uP7hh0oyuVELFl",NA,1516507,"long",3,22,"cindy"
"brooklyn drill, nyc rap","https://api.spotify.com/v1/artists/6EPlBSH2RSiettczlz7ihV","6EPlBSH2RSiettczlz7ihV","Sleepy Hallow",81,"artist","spotify:artist:6EPlBSH2RSiettczlz7ihV","https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV",NA,770081,"long",3,23,"cindy"
"dance pop, escape room, minnesota hip hop, pop, trap queen","https://api.spotify.com/v1/artists/56oDRnqbIiwx4mymNEv7dS","56oDRnqbIiwx4mymNEv7dS","Lizzo",76,"artist","spotify:artist:56oDRnqbIiwx4mymNEv7dS","https://open.spotify.com/artist/56oDRnqbIiwx4mymNEv7dS",NA,4404939,"long",3,24,"cindy"
"dance pop, pop, post-teen pop","https://api.spotify.com/v1/artists/0C8ZW7ezQVs4URX5aX7Kqx","0C8ZW7ezQVs4URX5aX7Kqx","Selena Gomez",86,"artist","spotify:artist:0C8ZW7ezQVs4URX5aX7Kqx","https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx",NA,33697335,"long",3,25,"cindy"
"dance pop, pop, urban contemporary","https://api.spotify.com/v1/artists/4iHNK0tOyZPYnBU7nGAgpQ","4iHNK0tOyZPYnBU7nGAgpQ","Mariah Carey",80,"artist","spotify:artist:4iHNK0tOyZPYnBU7nGAgpQ","https://open.spotify.com/artist/4iHNK0tOyZPYnBU7nGAgpQ",NA,7561164,"long",3,26,"cindy"
"melodic rap, rap, trap","https://api.spotify.com/v1/artists/6Xgp2XMz1fhVYe7i6yNAax","6Xgp2XMz1fhVYe7i6yNAax","Trippie Redd",88,"artist","spotify:artist:6Xgp2XMz1fhVYe7i6yNAax","https://open.spotify.com/artist/6Xgp2XMz1fhVYe7i6yNAax",NA,7341698,"long",3,27,"cindy"
"latin, salsa, salsa colombiana, tropical","https://api.spotify.com/v1/artists/1zng9JZpblpk48IPceRWs8","1zng9JZpblpk48IPceRWs8","Grupo Niche",71,"artist","spotify:artist:1zng9JZpblpk48IPceRWs8","https://open.spotify.com/artist/1zng9JZpblpk48IPceRWs8",NA,2022366,"long",3,28,"cindy"
"belgian hip hop, underground hip hop","https://api.spotify.com/v1/artists/1ng2cH6hJIOSYxQMk6pEux","1ng2cH6hJIOSYxQMk6pEux","Woodie Smalls",45,"artist","spotify:artist:1ng2cH6hJIOSYxQMk6pEux","https://open.spotify.com/artist/1ng2cH6hJIOSYxQMk6pEux",NA,45052,"long",3,29,"cindy"
"","https://api.spotify.com/v1/artists/3T8Is0eQTVrDD5bzS1QLUh","3T8Is0eQTVrDD5bzS1QLUh","Los Niños Cantores De Navidad",36,"artist","spotify:artist:3T8Is0eQTVrDD5bzS1QLUh","https://open.spotify.com/artist/3T8Is0eQTVrDD5bzS1QLUh",NA,2031,"long",3,30,"cindy"
"canadian hip hop, canadian pop, hip hop, rap, toronto rap","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4","Drake",98,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",NA,61755266,"long",3,31,"cindy"
"pop, r&b","https://api.spotify.com/v1/artists/7tYKF4w9nC0nq9CsPZTHyP","7tYKF4w9nC0nq9CsPZTHyP","SZA",88,"artist","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","https://open.spotify.com/artist/7tYKF4w9nC0nq9CsPZTHyP",NA,7359354,"long",3,32,"cindy"
"dance pop, hip pop, pop, pop rap, queens hip hop","https://api.spotify.com/v1/artists/0hCNtLu0JehylgoiP8L4Gh","0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj",90,"artist","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","https://open.spotify.com/artist/0hCNtLu0JehylgoiP8L4Gh",NA,24391063,"long",3,33,"cindy"
"dance pop, europop, neo mellow, pop, pop rock, post-teen pop","https://api.spotify.com/v1/artists/7o95ZoZt5ZYn31e9z1Hc0a","7o95ZoZt5ZYn31e9z1Hc0a","Natasha Bedingfield",69,"artist","spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a","https://open.spotify.com/artist/7o95ZoZt5ZYn31e9z1Hc0a",NA,1387337,"long",3,34,"cindy"
"east coast hip hop, hip hop, rap, trap","https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca","13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky",86,"artist","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca",NA,10790275,"long",3,35,"cindy"
"alternative r&b, chicago rap, escape room, hip hop, indie soul, underground hip hop","https://api.spotify.com/v1/artists/1EpyA68dKpjf7jXmQL88Hy","1EpyA68dKpjf7jXmQL88Hy","Noname",61,"artist","spotify:artist:1EpyA68dKpjf7jXmQL88Hy","https://open.spotify.com/artist/1EpyA68dKpjf7jXmQL88Hy",NA,607186,"long",3,36,"cindy"
"chicago drill, chicago rap, drill, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/5QdEbQJ3ylBnc3gsIASAT5","5QdEbQJ3ylBnc3gsIASAT5","G Herbo",79,"artist","spotify:artist:5QdEbQJ3ylBnc3gsIASAT5","https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5",NA,1459630,"long",3,37,"cindy"
"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/13y7CgLHjMVRMDqxdx0Xdo","13y7CgLHjMVRMDqxdx0Xdo","Gucci Mane",82,"artist","spotify:artist:13y7CgLHjMVRMDqxdx0Xdo","https://open.spotify.com/artist/13y7CgLHjMVRMDqxdx0Xdo",NA,4226094,"long",3,38,"cindy"
