"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"dance pop, pop","https://api.spotify.com/v1/artists/66CXWjxzNUsdJxJ2JdwvnR","66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande",93,"artist","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR",NA,76836410,"long",3,5,"claudia"
"pop, pop r&b","https://api.spotify.com/v1/artists/6LuN9FCkKOj5PcnpouEgny","6LuN9FCkKOj5PcnpouEgny","Khalid",89,"artist","spotify:artist:6LuN9FCkKOj5PcnpouEgny","https://open.spotify.com/artist/6LuN9FCkKOj5PcnpouEgny",NA,14985663,"long",3,6,"claudia"
"baroque pop, chamber pop, indie folk, singer-songwriter","https://api.spotify.com/v1/artists/4MXUO7sVCaFgFjoTI5ox5c","4MXUO7sVCaFgFjoTI5ox5c","Sufjan Stevens",74,"artist","spotify:artist:4MXUO7sVCaFgFjoTI5ox5c","https://open.spotify.com/artist/4MXUO7sVCaFgFjoTI5ox5c",NA,1495866,"long",3,7,"claudia"
"europop, swedish pop","https://api.spotify.com/v1/artists/0LcJLqbBmaGUft1e9Mm8HV","0LcJLqbBmaGUft1e9Mm8HV","ABBA",82,"artist","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","https://open.spotify.com/artist/0LcJLqbBmaGUft1e9Mm8HV",NA,7575257,"long",3,8,"claudia"
"pop","https://api.spotify.com/v1/artists/6KImCVD70vtIoJWnq6nGn3","6KImCVD70vtIoJWnq6nGn3","Harry Styles",87,"artist","spotify:artist:6KImCVD70vtIoJWnq6nGn3","https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3",NA,19257092,"long",3,9,"claudia"
"","https://api.spotify.com/v1/artists/7o8qzsL7eTuGP4piR7XQiY","7o8qzsL7eTuGP4piR7XQiY","Siddhartha Khosla",45,"artist","spotify:artist:7o8qzsL7eTuGP4piR7XQiY","https://open.spotify.com/artist/7o8qzsL7eTuGP4piR7XQiY",NA,6940,"long",3,10,"claudia"
"british soundtrack, orchestral soundtrack, soundtrack","https://api.spotify.com/v1/artists/5ukRxzaJiJLe6khkJeIHOn","5ukRxzaJiJLe6khkJeIHOn","Martin Phipps",49,"artist","spotify:artist:5ukRxzaJiJLe6khkJeIHOn","https://open.spotify.com/artist/5ukRxzaJiJLe6khkJeIHOn",NA,10627,"long",3,11,"claudia"
"pop","https://api.spotify.com/v1/artists/06HL4z0CvFAxyc27GXpf02","06HL4z0CvFAxyc27GXpf02","Taylor Swift",98,"artist","spotify:artist:06HL4z0CvFAxyc27GXpf02","https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02",NA,50080165,"long",3,12,"claudia"
"dance pop, pop, viral pop","https://api.spotify.com/v1/artists/6VuMaDnrHyPL1p4EHjYLi7","6VuMaDnrHyPL1p4EHjYLi7","Charlie Puth",85,"artist","spotify:artist:6VuMaDnrHyPL1p4EHjYLi7","https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7",NA,15445671,"long",3,13,"claudia"
"classic rock, glam rock, rock","https://api.spotify.com/v1/artists/1dfeR4HaWDbWqFHLkxsg1d","1dfeR4HaWDbWqFHLkxsg1d","Queen",88,"artist","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","https://open.spotify.com/artist/1dfeR4HaWDbWqFHLkxsg1d",NA,40110252,"long",3,14,"claudia"
"dfw rap, melodic rap, rap","https://api.spotify.com/v1/artists/246dkjvS1zLTtiykXe5h60","246dkjvS1zLTtiykXe5h60","Post Malone",91,"artist","spotify:artist:246dkjvS1zLTtiykXe5h60","https://open.spotify.com/artist/246dkjvS1zLTtiykXe5h60",NA,36136726,"long",3,15,"claudia"
"progressive bluegrass","https://api.spotify.com/v1/artists/5Biyy105DovS7aMHiU1HRL","5Biyy105DovS7aMHiU1HRL","DAVID GRISMAN QUINTET",21,"artist","spotify:artist:5Biyy105DovS7aMHiU1HRL","https://open.spotify.com/artist/5Biyy105DovS7aMHiU1HRL",NA,3077,"long",3,16,"claudia"
"lgbtq+ hip hop, pop","https://api.spotify.com/v1/artists/7jVv8c5Fj3E9VhNjxT4snq","7jVv8c5Fj3E9VhNjxT4snq","Lil Nas X",90,"artist","spotify:artist:7jVv8c5Fj3E9VhNjxT4snq","https://open.spotify.com/artist/7jVv8c5Fj3E9VhNjxT4snq",NA,9783119,"long",3,17,"claudia"
"canadian contemporary r&b, canadian pop, pop","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",98,"artist","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ",NA,42485059,"long",3,18,"claudia"
"soundtrack","https://api.spotify.com/v1/artists/1qwshnqmsxCWhZAnBIISeL","1qwshnqmsxCWhZAnBIISeL","Stephen Rennicks",47,"artist","spotify:artist:1qwshnqmsxCWhZAnBIISeL","https://open.spotify.com/artist/1qwshnqmsxCWhZAnBIISeL",NA,4743,"long",3,19,"claudia"
"glam rock, mellow gold, piano rock","https://api.spotify.com/v1/artists/3PhoLpVuITZKcymswpck5b","3PhoLpVuITZKcymswpck5b","Elton John",88,"artist","spotify:artist:3PhoLpVuITZKcymswpck5b","https://open.spotify.com/artist/3PhoLpVuITZKcymswpck5b",NA,8869877,"long",3,20,"claudia"
"hip hop, ohio hip hop, rap","https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu","0fA0VVWsXO9YnASrzqfmYu","Kid Cudi",86,"artist","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu",NA,5610961,"long",3,21,"claudia"
"alternative rock, grunge, permanent wave, rock","https://api.spotify.com/v1/artists/6olE6TJLqED3rqDCT0FyPh","6olE6TJLqED3rqDCT0FyPh","Nirvana",84,"artist","spotify:artist:6olE6TJLqED3rqDCT0FyPh","https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh",NA,14739782,"long",3,22,"claudia"
