"genres","href","id","name","popularity","type","uri","external_urls.spotify","followers.href","followers.total","range","rangenum","rank","userName"
"indie pop","https://api.spotify.com/v1/artists/3zmfs9cQwzJl575W1ZYXeT","3zmfs9cQwzJl575W1ZYXeT","Men I Trust",70,"artist","spotify:artist:3zmfs9cQwzJl575W1ZYXeT","https://open.spotify.com/artist/3zmfs9cQwzJl575W1ZYXeT",NA,701896,"short",1,46,"lord"
"hip hop, philly rap, pop rap, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/20sxb77xiYeusSH8cVdatc","20sxb77xiYeusSH8cVdatc","Meek Mill",81,"artist","spotify:artist:20sxb77xiYeusSH8cVdatc","https://open.spotify.com/artist/20sxb77xiYeusSH8cVdatc",NA,5928323,"short",1,47,"lord"
"alternative r&b, hip hop, lgbtq+ hip hop, neo soul, pop","https://api.spotify.com/v1/artists/2h93pZq0e7k5yf4dywlkpM","2h93pZq0e7k5yf4dywlkpM","Frank Ocean",87,"artist","spotify:artist:2h93pZq0e7k5yf4dywlkpM","https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM",NA,9060741,"short",1,48,"lord"
"melodic rap, rap, southern hip hop, trap, vapor trap","https://api.spotify.com/v1/artists/3uJx5SnOM59Li7lCxA3b29","3uJx5SnOM59Li7lCxA3b29","Lil Keed",65,"artist","spotify:artist:3uJx5SnOM59Li7lCxA3b29","https://open.spotify.com/artist/3uJx5SnOM59Li7lCxA3b29",NA,765649,"short",1,49,"lord"
"plugg, pluggnb, underground hip hop, vapor trap","https://api.spotify.com/v1/artists/5tQMB0cuNXdCtzovGt55uD","5tQMB0cuNXdCtzovGt55uD","LUCKI",69,"artist","spotify:artist:5tQMB0cuNXdCtzovGt55uD","https://open.spotify.com/artist/5tQMB0cuNXdCtzovGt55uD",NA,172433,"short",1,50,"lord"
"pluggnb","https://api.spotify.com/v1/artists/3qiHUAX7zY4Qnjx8TNUzVx","3qiHUAX7zY4Qnjx8TNUzVx","Yeat",84,"artist","spotify:artist:3qiHUAX7zY4Qnjx8TNUzVx","https://open.spotify.com/artist/3qiHUAX7zY4Qnjx8TNUzVx",NA,390381,"mid",2,1,"lord"
"glitchcore, plugg, pluggnb, vapor trap","https://api.spotify.com/v1/artists/2SJhf6rTOU53g8yBdAjPby","2SJhf6rTOU53g8yBdAjPby","SoFaygo",71,"artist","spotify:artist:2SJhf6rTOU53g8yBdAjPby","https://open.spotify.com/artist/2SJhf6rTOU53g8yBdAjPby",NA,350147,"mid",2,2,"lord"
"chicago rap","https://api.spotify.com/v1/artists/6AgTAQt8XS6jRWi4sX7w49","6AgTAQt8XS6jRWi4sX7w49","Polo G",90,"artist","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","https://open.spotify.com/artist/6AgTAQt8XS6jRWi4sX7w49",NA,6912142,"mid",2,3,"lord"
"florida rap, rap, trap","https://api.spotify.com/v1/artists/0Njy6yR9LykNKYg9yE23QN","0Njy6yR9LykNKYg9yE23QN","Nardo Wick",75,"artist","spotify:artist:0Njy6yR9LykNKYg9yE23QN","https://open.spotify.com/artist/0Njy6yR9LykNKYg9yE23QN",NA,157242,"mid",2,4,"lord"
"atl hip hop, plugg, pluggnb, rap, trap","https://api.spotify.com/v1/artists/699OTQXzgjhIYAHMy9RyPD","699OTQXzgjhIYAHMy9RyPD","Playboi Carti",88,"artist","spotify:artist:699OTQXzgjhIYAHMy9RyPD","https://open.spotify.com/artist/699OTQXzgjhIYAHMy9RyPD",NA,6164198,"mid",2,5,"lord"
"nyc rap, plugg, vapor trap","https://api.spotify.com/v1/artists/0JfrGVffhKwF36QHW9HXOL","0JfrGVffhKwF36QHW9HXOL","Shawny Binladen",50,"artist","spotify:artist:0JfrGVffhKwF36QHW9HXOL","https://open.spotify.com/artist/0JfrGVffhKwF36QHW9HXOL",NA,10908,"mid",2,6,"lord"
"bronx drill, new york drill","https://api.spotify.com/v1/artists/7hf5PZjVOqTQ2id3PF7I5Y","7hf5PZjVOqTQ2id3PF7I5Y","B-Lovee",65,"artist","spotify:artist:7hf5PZjVOqTQ2id3PF7I5Y","https://open.spotify.com/artist/7hf5PZjVOqTQ2id3PF7I5Y",NA,56720,"mid",2,7,"lord"
"canadian contemporary r&b, canadian pop, pop","https://api.spotify.com/v1/artists/1Xyo4u8uXC1ZmMpatF05PJ","1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd",98,"artist","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ",NA,42485059,"mid",2,8,"lord"
"art pop, candy pop, dance pop, electropop, metropopolis, pop, post-teen pop, uk pop","https://api.spotify.com/v1/artists/25uiPmTg16RbhZWAqwLBy5","25uiPmTg16RbhZWAqwLBy5","Charli XCX",81,"artist","spotify:artist:25uiPmTg16RbhZWAqwLBy5","https://open.spotify.com/artist/25uiPmTg16RbhZWAqwLBy5",NA,2563908,"mid",2,9,"lord"
"chicago drill, chicago rap, drill, hip hop, rap, trap","https://api.spotify.com/v1/artists/3hcs9uc56yIGFCSy9leWe7","3hcs9uc56yIGFCSy9leWe7","Lil Durk",88,"artist","spotify:artist:3hcs9uc56yIGFCSy9leWe7","https://open.spotify.com/artist/3hcs9uc56yIGFCSy9leWe7",NA,3713117,"mid",2,10,"lord"
"baton rouge rap, trap","https://api.spotify.com/v1/artists/7wlFDEWiM5OoIAt8RSli8b","7wlFDEWiM5OoIAt8RSli8b","YoungBoy Never Broke Again",88,"artist","spotify:artist:7wlFDEWiM5OoIAt8RSli8b","https://open.spotify.com/artist/7wlFDEWiM5OoIAt8RSli8b",NA,8387098,"mid",2,11,"lord"
"vapor trap","https://api.spotify.com/v1/artists/7J0hrNYCO5DgAx0XaRJqkh","7J0hrNYCO5DgAx0XaRJqkh","Yung Kayo",58,"artist","spotify:artist:7J0hrNYCO5DgAx0XaRJqkh","https://open.spotify.com/artist/7J0hrNYCO5DgAx0XaRJqkh",NA,16332,"mid",2,12,"lord"
"chicago drill, chicago rap, drill, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/5QdEbQJ3ylBnc3gsIASAT5","5QdEbQJ3ylBnc3gsIASAT5","G Herbo",79,"artist","spotify:artist:5QdEbQJ3ylBnc3gsIASAT5","https://open.spotify.com/artist/5QdEbQJ3ylBnc3gsIASAT5",NA,1454428,"mid",2,13,"lord"
"atl hip hop, atl trap, rap, trap","https://api.spotify.com/v1/artists/5f7VJjfbwm532GiveGC0ZK","5f7VJjfbwm532GiveGC0ZK","Lil Baby",92,"artist","spotify:artist:5f7VJjfbwm532GiveGC0ZK","https://open.spotify.com/artist/5f7VJjfbwm532GiveGC0ZK",NA,9806503,"mid",2,14,"lord"
"atl hip hop, hip hop, pop rap, rap, southern hip hop, trap","https://api.spotify.com/v1/artists/1RyvyyTE3xzB2ZywiAwp0i","1RyvyyTE3xzB2ZywiAwp0i","Future",92,"artist","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","https://open.spotify.com/artist/1RyvyyTE3xzB2ZywiAwp0i",NA,11222992,"mid",2,15,"lord"
"atl hip hop, melodic rap, rap, trap","https://api.spotify.com/v1/artists/2hlmm7s2ICUX0LVIhVFlZQ","2hlmm7s2ICUX0LVIhVFlZQ","Gunna",92,"artist","spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","https://open.spotify.com/artist/2hlmm7s2ICUX0LVIhVFlZQ",NA,4049758,"mid",2,16,"lord"
"uk alternative hip hop, underground hip hop, vapor trap","https://api.spotify.com/v1/artists/2LakckgvXEtJlKOYP6BO11","2LakckgvXEtJlKOYP6BO11","Lancey Foux",57,"artist","spotify:artist:2LakckgvXEtJlKOYP6BO11","https://open.spotify.com/artist/2LakckgvXEtJlKOYP6BO11",NA,122639,"mid",2,17,"lord"
"electro, filter house","https://api.spotify.com/v1/artists/4tZwfgrHOc3mvqYlEYSvVi","4tZwfgrHOc3mvqYlEYSvVi","Daft Punk",83,"artist","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","https://open.spotify.com/artist/4tZwfgrHOc3mvqYlEYSvVi",NA,8697500,"mid",2,18,"lord"
"canadian hip hop, canadian pop, hip hop, rap, toronto rap","https://api.spotify.com/v1/artists/3TVXtAsR1Inumwj472S9r4","3TVXtAsR1Inumwj472S9r4","Drake",98,"artist","spotify:artist:3TVXtAsR1Inumwj472S9r4","https://open.spotify.com/artist/3TVXtAsR1Inumwj472S9r4",NA,61578850,"mid",2,19,"lord"
"pluggnb, vapor trap","https://api.spotify.com/v1/artists/3gBZUcNeVumkeeJ19CY2sX","3gBZUcNeVumkeeJ19CY2sX","Ken Car$on",64,"artist","spotify:artist:3gBZUcNeVumkeeJ19CY2sX","https://open.spotify.com/artist/3gBZUcNeVumkeeJ19CY2sX",NA,103206,"mid",2,20,"lord"
"new york drill","https://api.spotify.com/v1/artists/5PPetvBg4hGBkco4Y267hd","5PPetvBg4hGBkco4Y267hd","Quelly Woo",49,"artist","spotify:artist:5PPetvBg4hGBkco4Y267hd","https://open.spotify.com/artist/5PPetvBg4hGBkco4Y267hd",NA,30954,"mid",2,21,"lord"
"brooklyn drill","https://api.spotify.com/v1/artists/0eDvMgVFoNV3TpwtrVCoTj","0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke",88,"artist","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","https://open.spotify.com/artist/0eDvMgVFoNV3TpwtrVCoTj",NA,9442168,"mid",2,22,"lord"
"australian psych, neo-psychedelic","https://api.spotify.com/v1/artists/5INjqkS1o8h1imAzPqGZBb","5INjqkS1o8h1imAzPqGZBb","Tame Impala",83,"artist","spotify:artist:5INjqkS1o8h1imAzPqGZBb","https://open.spotify.com/artist/5INjqkS1o8h1imAzPqGZBb",NA,5487615,"mid",2,23,"lord"
"art pop, canadian electropop, dance pop, electropop, grave wave, indietronica, metropopolis, pop","https://api.spotify.com/v1/artists/053q0ukIDRgzwTr4vNSwab","053q0ukIDRgzwTr4vNSwab","Grimes",73,"artist","spotify:artist:053q0ukIDRgzwTr4vNSwab","https://open.spotify.com/artist/053q0ukIDRgzwTr4vNSwab",NA,1613150,"mid",2,24,"lord"
